scene_id,im_id,obj_id,score,R,t,time
48, 1, 1, 1, 0.6775400638580322 -0.7353739738464355 -0.012828104197978973 -0.18997766077518463 -0.15813378989696503 -0.9689695835113525 0.7105264067649841 0.6589527726173401 -0.24684660136699677 , -32.45852887630463 -8.739430457353592 870.7334995269775, -1
48, 1, 6, 1, -0.8443433046340942 0.5352753400802612 -0.023769665509462357 0.15077362954616547 0.19479233026504517 -0.9691870212554932 -0.5141515731811523 -0.8219102025032043 -0.24517694115638733 , 19.4518081843853 58.352116495370865 810.7408285140991, -1
48, 1, 14, 1, 0.7308635115623474 -0.6824865341186523 -0.0071025872603058815 -0.16696107387542725 -0.16868631541728973 -0.971426248550415 0.661787211894989 0.7111659646034241 -0.2372354418039322 , -24.244358763098717 -110.45025289058685 850.4565358161926, -1
48, 1, 19, 1, -0.16245903074741364 0.3152906000614166 -0.9349861145019531 -0.2966292202472687 0.8881367444992065 0.35103338956832886 0.941072940826416 0.3343726694583893 -0.05076142027974129 , 48.00906404852867 -11.510217562317848 861.3646626472473, -1
48, 1, 20, 1, -0.9717205762863159 0.2352239489555359 0.020704107359051704 0.026959268376231194 0.02340683527290821 0.9993625283241272 0.23458944261074066 0.9716593623161316 -0.029086370021104813 , 780.7809114456177 147.05172181129456 2839.4389152526855, -1
48, 36, 1, 1, 0.6725362539291382 -0.7399991154670715 0.009807993657886982 -0.1740656942129135 -0.17105011641979218 -0.9697643518447876 0.7193024158477783 0.650494396686554 -0.2438458949327469 , -48.441968858242035 -12.665227986872196 862.8507852554321, -1
48, 36, 6, 1, -0.8463096618652344 0.5326554775238037 -0.00617127725854516 0.13524824380874634 0.20365482568740845 -0.9696558117866516 -0.5152357220649719 -0.8214637041091919 -0.24439583718776703 , 3.454099874943495 55.01239001750946 803.9859533309937, -1
48, 36, 14, 1, 0.7312188744544983 -0.6819674968719482 0.01545715145766735 -0.15743187069892883 -0.19076275825500488 -0.9689297080039978 0.663727343082428 0.7060662508010864 -0.2468527853488922 , -38.20470720529556 -114.33520913124084 842.9501056671143, -1
48, 36, 19, 1, -0.16380253434181213 0.30706924200057983 -0.937484622001648 -0.3046225309371948 0.8881329298019409 0.344129741191864 0.9382824897766113 0.34194812178611755 -0.05193810909986496 , 32.60670602321625 -14.30220901966095 855.7960391044617, -1
48, 36, 20, 1, 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 , 0.0 0.0 0.0, -1
48, 47, 1, 1, 0.6801820993423462 -0.7330340147018433 0.003657339606434107 -0.1660333126783371 -0.15891794860363007 -0.9732306599617004 0.7139926552772522 0.6613669395446777 -0.2298012375831604 , -24.31165985763073 -13.495481573045254 870.4735040664673, -1
48, 47, 6, 1, -0.8514241576194763 0.5244749188423157 -0.0017690889071673155 0.12961474061012268 0.207143634557724 -0.9696862101554871 -0.5082098245620728 -0.8258433938026428 -0.2443467229604721 , 25.651689618825912 53.591784089803696 810.2150559425354, -1
48, 47, 14, 1, 0.7840644717216492 -0.6206668615341187 0.0039500221610069275 -0.12676066160202026 -0.1663552224636078 -0.9778843522071838 0.6075974702835083 0.766223669052124 -0.2091093510389328 , -15.343827195465565 -115.53089320659637 849.5652079582214, -1
48, 47, 19, 1, 0.09010127931833267 0.2329586148262024 0.9683035612106323 0.0058573512360453606 0.9721174240112305 -0.23442119359970093 -0.9959153532981873 0.026793325319886208 0.08622435480356216 , 55.34464865922928 -18.518276512622833 880.7979226112366, -1
48, 47, 20, 1, -0.9999486207962036 -0.009999138303101063 0.001649289857596159 0.004056476056575775 -0.24577589333057404 0.9693182110786438 -0.00928689818829298 0.969275176525116 0.24580396711826324 , -20.360754802823067 85.8863964676857 685.0565075874329, -1
48, 83, 1, 1, 0.716621994972229 -0.6973230242729187 0.013913990929722786 -0.15505176782608032 -0.17872989177703857 -0.97160404920578 0.6800086498260498 0.6941156983375549 -0.23620299994945526 , -3.7444436457008123 -5.837014876306057 879.1968822479248, -1
