mod	max_derivative_order	max_track_age	cov_drift_lin_vel	cov_drift_ang_vel	outlier_rejection_treshold	t_validity_treshold	R_validity_treshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
cosypose	0	0	0	0	0	0	0	0.4042678731	0.6286741974	0.3887090608	0.6044787951	0.5323053396	0.8277843837	0.4417607578	0.6869791254
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0026	0.4983	0.5702	0.4909	0.5616	0.6284	0.7190	0.5392	0.6169
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0023	0.4887	0.6204	0.4836	0.6138	0.6129	0.7780	0.5284	0.6707
2.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0019	0.4777	0.6482	0.4738	0.6429	0.5977	0.8111	0.5164	0.7007
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0019	0.4777	0.6482	0.4738	0.6429	0.5977	0.8111	0.5164	0.7007
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0015	0.4662	0.6649	0.4633	0.6607	0.5825	0.8308	0.5040	0.7188
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0011	0.4492	0.6924	0.4465	0.6882	0.5611	0.8649	0.4856	0.7485
3.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0009	0.4322	0.7129	0.4300	0.7091	0.5401	0.8908	0.4674	0.7709
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0009	0.4322	0.7129	0.4300	0.7091	0.5401	0.8908	0.4674	0.7709
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0008	0.4069	0.7405	0.4049	0.7368	0.5076	0.9238	0.4398	0.8004
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0006	0.3559	0.7630	0.3546	0.7603	0.4430	0.9498	0.3845	0.8243
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0004	0.2468	0.7974	0.2463	0.7958	0.2986	0.9647	0.2639	0.8526
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0002	0.0184	0.9816	0.0174	0.9279	0.0178	0.9524	0.0179	0.9539
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0015	0.4678	0.6611	0.4655	0.6579	0.5862	0.8286	0.5065	0.7159
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0030	0.5031	0.5545	0.4959	0.5466	0.6363	0.7014	0.5451	0.6008
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0015	0.4678	0.6608	0.4656	0.6576	0.5863	0.8282	0.5066	0.7156
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0060	0.5091	0.5296	0.5029	0.5231	0.6463	0.6724	0.5528	0.5750
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0015	0.4678	0.6608	0.4656	0.6576	0.5863	0.8282	0.5066	0.7156
1.0000	1.0000	1.0000	0.1000	1.0000	0.1500	0.0000	0.0060	0.5108	0.5203	0.5058	0.5152	0.6526	0.6647	0.5564	0.5667
