window_size	hysteresis	covariance1_t	covariance1_R	covariance2_t	covariance2_R	outlier_threshold	translation_validity_threshold	Rotation_validity_threshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
cosypose	0	0	0	0	0	0	0	0	0.4042678731	0.6286741974	0.3887090608	0.6044787951	0.5323053396	0.8277843837	0.4417607578	0.6869791254
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0005000000	0.0258901491	0.9151351351	0.0224289537	0.7927927928	0.0232955270	0.8234234234	0.0238715433	0.8437837838
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0005000000	0.0258901491	0.9151351351	0.0224289537	0.7927927928	0.0232955270	0.8234234234	0.0238715433	0.8437837838
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0005000000	0.0258901491	0.9151351351	0.0224289537	0.7927927928	0.0232955270	0.8234234234	0.0238715433	0.8437837838
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0010000000	0.0295272079	0.8980620155	0.0255766535	0.7779069767	0.0269529757	0.8197674419	0.0273522790	0.8319121447
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0010000000	0.0295272079	0.8980620155	0.0255766535	0.7779069767	0.0269529757	0.8197674419	0.0273522790	0.8319121447
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0010000000	0.0295272079	0.8980620155	0.0255766535	0.7779069767	0.0269529757	0.8197674419	0.0273522790	0.8319121447
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0005000000	0.2483458647	0.7384501705	0.2462979483	0.7323607427	0.3192430228	0.9492610837	0.2712956119	0.8066906657
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0005000000	0.2483458647	0.7384501705	0.2462979483	0.7323607427	0.3192430228	0.9492610837	0.2712956119	0.8066906657
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0005000000	0.2483458647	0.7367750473	0.2465400790	0.7314177694	0.3194978973	0.9478638941	0.2714612803	0.8053522369
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0010000000	0.2766777112	0.7253892416	0.2729450746	0.7156030738	0.3587613101	0.9405947210	0.3027946986	0.7938623455
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0010000000	0.2766777112	0.7253892416	0.2729450746	0.7156030738	0.3587613101	0.9405947210	0.3027946986	0.7938623455
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0010000000	0.2766777112	0.7253892416	0.2729450746	0.7156030738	0.3587613101	0.9405947210	0.3027946986	0.7938623455
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0005000000	0.3091907735	0.7094210526	0.3079011087	0.7064619883	0.4079775710	0.9360818713	0.3416898178	0.7839883041
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0005000000	0.3089575634	0.7113820423	0.3073148974	0.7075997653	0.4073403849	0.9379107981	0.3412042819	0.7856308685
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0005000000	0.3089575634	0.7113820423	0.3073148974	0.7075997653	0.4073403849	0.9379107981	0.3412042819	0.7856308685
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0020000000	0.3195781827	0.6855467469	0.3110360647	0.6672225260	0.4212310437	0.9036085293	0.3506150971	0.7521259340
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0020000000	0.3195781827	0.6855467469	0.3110360647	0.6672225260	0.4212310437	0.9036085293	0.3506150971	0.7521259340
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0020000000	0.3195781827	0.6855467469	0.3110360647	0.6672225260	0.4212310437	0.9036085293	0.3506150971	0.7521259340
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0010000000	0.3614668026	0.6957149865	0.3577545559	0.6885700270	0.4768956289	0.9178807947	0.3987056625	0.7673886027
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0010000000	0.3610641009	0.6987102343	0.3569007264	0.6906535142	0.4759908245	0.9211097411	0.3979852173	0.7701578298
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0010000000	0.3610641009	0.6987102343	0.3569007264	0.6906535142	0.4759908245	0.9211097411	0.3979852173	0.7701578298
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0020000000	0.3631999490	0.6731294284	0.3556008666	0.6590458196	0.4827449981	0.8946858762	0.4005152712	0.7422870414
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0020000000	0.3631999490	0.6731294284	0.3556008666	0.6590458196	0.4827449981	0.8946858762	0.4005152712	0.7422870414
5.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0020000000	0.3631999490	0.6731294284	0.3556008666	0.6590458196	0.4827449981	0.8946858762	0.4005152712	0.7422870414
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0010000000	0.4007149229	0.6650613367	0.3972473557	0.6593062606	0.5323435708	0.8835236887	0.4434352831	0.7359637620
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0010000000	0.4007149229	0.6650613367	0.3972473557	0.6593062606	0.5323435708	0.8835236887	0.4434352831	0.7359637620
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0010000000	0.4093041927	0.6537370242	0.4071492290	0.6502951354	0.5450618071	0.8705678811	0.4538384096	0.7248666802
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0020000000	0.4223384733	0.6451411330	0.4150503377	0.6340081760	0.5594622149	0.8546038544	0.4656170086	0.7112510544
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0020000000	0.4290671594	0.6350226330	0.4230788836	0.6261599396	0.5700649930	0.8437004904	0.4740703454	0.7016276877
10.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0020000000	0.4223384733	0.6451411330	0.4150503377	0.6340081760	0.5594622149	0.8546038544	0.4656170086	0.7112510544
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000025000	0.0020000000	0.4276067287	0.6193115541	0.4216898178	0.6107419712	0.5696954250	0.8251015135	0.4729973238	0.6850516796
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000050000	0.0020000000	0.4277086785	0.6185458902	0.4217917676	0.6099889421	0.5698228622	0.8240692960	0.4731077694	0.6842013761
20.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000100000	0.0020000000	0.4433515993	0.5950025654	0.4393398751	0.5896186078	0.5915509112	0.7938943048	0.4914141285	0.6595051593
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0040000000	0.3958570154	0.6154725580	0.3809099019	0.5922330097	0.5330317319	0.8287497523	0.4365995497	0.6788184400
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0160000000	0.3989473684	0.6109562842	0.3848859437	0.5894223263	0.5374028291	0.8229898517	0.4404120471	0.6744561540
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000400000	0.0080000000	0.3959640627	0.6130880032	0.3816108067	0.5908642463	0.5337963553	0.8264996054	0.4371237416	0.6768172849
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000800000	0.0040000000	0.3958570154	0.6154725580	0.3809099019	0.5922330097	0.5330317319	0.8287497523	0.4365995497	0.6788184400
2.0000000000	1.0000000000	1.0000000000	1.0000000000	0.0000000010	0.0000000010	10.0000000000	0.0000200000	0.0160000000	0.3989473684	0.6109562842	0.3848859437	0.5894223263	0.5374028291	0.8229898517	0.4404120471	0.6744561540
