mod	max_derivative_order	max_track_age	cov_drift_lin_vel	cov_drift_ang_vel	outlier_rejection_treshold_trans	outlier_rejection_treshold_rot	t_validity_treshold	R_validity_treshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
cosypose	0	0	0	0	0	0	0	0	0.4081690685	0.6286741974	0.3924601132	0.6044787951	0.5374420998	0.8277843837	0.4460237605	0.6869791254
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0011	0.4444	0.6841	0.4428	0.6816	0.5605	0.8628	0.4826	0.7428
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0015	0.4627	0.6618	0.4606	0.6587	0.5827	0.8334	0.5020	0.7180
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0017	0.4672	0.6569	0.4647	0.6534	0.5884	0.8274	0.5067	0.7126
2.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0019	0.4755	0.6469	0.4724	0.6426	0.5991	0.8150	0.5157	0.7015
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0019	0.4755	0.6469	0.4724	0.6426	0.5991	0.8150	0.5157	0.7015
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0002	0.0183	0.9542	0.0177	0.9215	0.0181	0.9463	0.0180	0.9407
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0023	0.4891	0.6212	0.4845	0.6152	0.6170	0.7835	0.5302	0.6733
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0026	0.4996	0.5704	0.4922	0.5620	0.6330	0.7227	0.5416	0.6184
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0030	0.5016	0.5619	0.4939	0.5532	0.6356	0.7118	0.5437	0.6090
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0004	0.2358	0.7883	0.2348	0.7849	0.2870	0.9592	0.2525	0.8441
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0006	0.3473	0.7520	0.3463	0.7500	0.4367	0.9456	0.3768	0.8159
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0060	0.5043	0.5485	0.4962	0.5398	0.6391	0.6952	0.5465	0.5945
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0008	0.4007	0.7274	0.3992	0.7245	0.5042	0.9152	0.4347	0.7890
1.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0009	0.4275	0.7018	0.4261	0.6996	0.5398	0.8862	0.4645	0.7625
3.0000	1.0000	1.0000	0.1000	1.0000	0.1000	0.1745	0.0000	0.0009	0.4275	0.7018	0.4261	0.6996	0.5398	0.8862	0.4645	0.7625
