mod	max_derivative_order	max_track_age	cov_drift_lin_vel	cov_drift_ang_vel	outlier_rejection_treshold	t_validity_treshold	R_validity_treshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
cosypose	0	0	0	0	0	0	0	0.4042678731	0.6286741974	0.3887090608	0.6044787951	0.5323053396	0.8277843837	0.4417607578	0.6869791254
1	1	1	0.1	1	0.15	5.00E-06	7.50E-04	0.4091945967	0.7110163862	0.4088441443	0.7104074402	0.5102586976	0.8866253322	0.4427658128	0.7693497195
1	1	1	0.1	1	0.15	5.00E-07	7.50E-04	0.4017038359	0.7206607225	0.3999617688	0.7175354367	0.4996431757	0.8963648834	0.4337695935	0.7781870142
1	1	1	0.1	1	0.15	5.00E-05	7.50E-04	0.4091945967	0.7094454264	0.4089588378	0.709036677	0.5103861348	0.8848873177	0.4428465231	0.767789807
1	1	1	0.1	1	0.15	2.50E-07	1.00E-03	0.4087906206	0.7133155437	0.404613228	0.7060262397	0.5072639225	0.8851456527	0.4402225904	0.7681624787
1	1	1	0.1	1	0.15	5.00E-07	1.00E-03	0.4299643176	0.6849228583	0.4274882121	0.6809784815	0.5344335415	0.8513398295	0.4639620237	0.7390803898
1	1	1	0.1	1	0.15	1.25E-06	1.00E-03	0.4391780298	0.672435122	0.4384478145	0.6713170732	0.5470370842	0.8375804878	0.4748876428	0.7271108943
1	1	1	0.1	1	0.15	5.00E-06	1.00E-03	0.4428431248	0.6657068966	0.4432139671	0.6662643678	0.553459921	0.8319923372	0.4798390043	0.7213212005
1	1	1	0.1	1	0.15	1.00E-05	1.00E-03	0.4429030203	0.6651598086	0.4434178667	0.6659330144	0.5536765643	0.8315215311	0.4799991504	0.7208714514
1	1	1	0.1	1	0.15	2.00E-05	1.00E-03	0.4429030203	0.6649052994	0.4434178667	0.6656782093	0.5536765643	0.8312033671	0.4799991504	0.7205956253
1	1	1	0.1	1	0.15	5.00E-05	1.00E-03	0.4429030203	0.6638892073	0.4435325602	0.6648328558	0.5537785141	0.8300859599	0.4800713649	0.7196026743
1	1	1	0.1	1	0.15	5.00E-05	1.00E-03	0.4429030203	0.6638892073	0.4435325602	0.6648328558	0.5537785141	0.8300859599	0.4800713649	0.7196026743
1	1	1	0.1	1	0.15	5.00E-07	1.50E-03	0.4521638843	0.653070127	0.4490633363	0.6485919382	0.5614884669	0.8109699982	0.4875718958	0.7042106878
1	1	1	0.1	1	0.15	5.00E-06	1.50E-03	0.4701414553	0.6223346829	0.4705619982	0.622891363	0.5877150503	0.7779689609	0.5094728346	0.6743983356
1	1	1	0.1	1	0.15	5.00E-06	1.50E-03	0.4701414553	0.6223346829	0.4705619982	0.622891363	0.5877150503	0.7779689609	0.5094728346	0.6743983356
1	1	1	0.1	1	0.15	5.00E-05	1.50E-03	0.4718593093	0.6147567657	0.4732509239	0.6165698157	0.5918695043	0.7711107422	0.5123265792	0.6674791079
1	1	1	0.1	1	0.15	1.25E-06	2.00E-03	0.4783751752	0.6087917613	0.4759908245	0.6057573792	0.5966611444	0.7593253325	0.517009048	0.6579581576
1	1	1	0.1	1	0.15	1.25E-06	5.00E-04	0.3279915891	0.7592182891	0.3282018606	0.7597050147	0.405811138	0.9393510324	0.3540015292	0.8194247788
1	1	1	0.1	1	0.15	1.00E-05	5.00E-04	0.3279915891	0.7583235121	0.3283165541	0.7590748379	0.4059385753	0.9385385975	0.3540822395	0.8186456492
1	1	1	0.1	1	0.15	5.00E-06	2.00E-03	0.4859831783	0.591792365	0.4854084363	0.5910924891	0.6085000637	0.740983861	0.5266305594	0.6412895717
1	1	1	0.1	1	0.15	1.00E-05	2.00E-03	0.4891436218	0.5841287475	0.4896648401	0.5847511794	0.6144004078	0.7337087201	0.5310696232	0.6341962157
1	1	1	0.1	1	0.15	2.00E-05	2.00E-03	0.4899413789	0.5796125433	0.4910921371	0.5809739183	0.6169873837	0.7299110508	0.5326736332	0.6301658375
1	1	1	0.1	1	0.15	5.00E-06	4.00E-03	0.5079049318	0.4917978776	0.5042181726	0.4882280355	0.6410347904	0.6207058243	0.5510526316	0.5335772458
1	1	1	0.1	1	0.15	1.00E-04	4.00E-03	0.5190378489	0.4272859841	0.5198674653	0.4279689467	0.6638333121	0.5464855225	0.5675795421	0.4672468177
1	1	1	0.1	1	0.15	2.50E-07	2.50E-04	0.04746909647	0.9152088452	0.04550783739	0.8773955774	0.04828596916	0.930958231	0.04708763434	0.9078542179
1	1	1	0.1	1	0.15	1.00E-04	2.50E-04	0.04795335797	0.8980668258	0.04634892316	0.8680190931	0.04915254237	0.9205250597	0.0478182745	0.8955369928
