mod	max_derivative_order	max_track_age	cov_drift_lin_vel	cov_drift_ang_vel	outlier_rejection_treshold	t_validity_treshold	R_validity_treshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
cosypose	0	0	0	0	0	0	0	0.5810	0.7292	0.4723	0.5928	0.4806	0.6032	0.5113	0.6418
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.7672	0.8883	0.7239	0.8382	0.7150	0.8279	0.7354	0.8515
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0001	0.7989	0.8417	0.7509	0.7912	0.7424	0.7822	0.7641	0.8050
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.7139	0.9049	0.6716	0.8514	0.6618	0.8390	0.6825	0.8651
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0001	0.8147	0.7987	0.7662	0.7511	0.7582	0.7433	0.7797	0.7644
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0001	0.8147	0.7987	0.7662	0.7511	0.7582	0.7433	0.7797	0.7644
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.7051	0.9078	0.6628	0.8535	0.6530	0.8409	0.6737	0.8674
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.6870	0.9081	0.6461	0.8541	0.6368	0.8419	0.6566	0.8680
2.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0002	0.8259	0.7606	0.7774	0.7160	0.7692	0.7085	0.7908	0.7284
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0002	0.8259	0.7606	0.7774	0.7160	0.7692	0.7085	0.7908	0.7284
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.6630	0.9113	0.6215	0.8542	0.6124	0.8417	0.6323	0.8691
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.6337	0.9159	0.5961	0.8616	0.5871	0.8486	0.6056	0.8753
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0003	0.8495	0.6822	0.7986	0.6413	0.7911	0.6353	0.8131	0.6529
3.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.5936	0.9406	0.5547	0.8790	0.5457	0.8646	0.5647	0.8947
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.5936	0.9406	0.5547	0.8790	0.5457	0.8646	0.5647	0.8947
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0006	0.8622	0.6260	0.8112	0.5890	0.8044	0.5840	0.8260	0.5996
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.5440	0.9514	0.5036	0.8808	0.4947	0.8652	0.5141	0.8992
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.4538	0.9602	0.4124	0.8724	0.4047	0.8561	0.4236	0.8963
1.0000	0.0000	1.0000	0.0000	0.0000	0.1500	0.0000	0.0000	0.3176	0.9699	0.2843	0.8683	0.2796	0.8538	0.2938	0.8973
