window_size	hysteresis	covariance1_t	covariance1_R	covariance2	outlier_threshold	translation_validity_threshold	Rotation_validity_threshold	bop19_average_recall_vsd	bop19_average_precision_vsd	bop19_average_recall_mssd	bop19_average_precision_mssd	bop19_average_recall_mspd	bop19_average_precision_mspd	bop19_average_recall	bop19_average_precision
cosypose    0    0    0    0	0	0	0	0.5524790943	0.7502480783	0.5272095716	0.715932914	0.6368326258	0.8647973445	0.5721737639	0.7769927789
20	1	10	5	5.00E-05	10	5.00E-06	1.00E-03	0.3477978845	0.7063069358	0.3422199567	0.6949792961	0.4561106155	0.9262681159	0.3820428189	0.7758514493
20	1	10	10	5.00E-05	10	5.00E-06	1.00E-03	0.3391474449	0.7113846565	0.3341914107	0.7009890404	0.4432012234	0.9296444801	0.3721800263	0.7806727257
20	1	5	10	5.00E-05	10	5.00E-06	1.00E-03	0.3408678476	0.7098699575	0.3360519944	0.6998407643	0.4460430738	0.9289012739	0.3743209719	0.7795373319
20	1	1	10	5.00E-05	10	5.00E-06	1.00E-03	0.363709698	0.696104878	0.3604944565	0.6899512195	0.4811392889	0.9208536585	0.4017811478	0.7689699187
20	1	5	5	5.00E-05	10	5.00E-06	1.00E-03	0.3493538932	0.7058135942	0.3441315152	0.6952626159	0.4589906971	0.9273171988	0.3841587018	0.7761311363
20	1	5	1	5.00E-05	10	5.00E-06	1.00E-03	0.3574627246	0.6949975223	0.3536001019	0.6874876115	0.4754555881	0.9244053518	0.3955061382	0.7689634952
20	1	10	1	5.00E-05	10	5.00E-06	1.00E-03	0.3560086657	0.6950982832	0.3520198802	0.6873102762	0.4730597681	0.9236377208	0.3936961047	0.7686820934
20	1	1	5	5.00E-05	10	5.00E-06	1.00E-03	0.3788071875	0.6838049229	0.3760672869	0.6788589832	0.5047279215	0.9111111111	0.4198674653	0.7579250058
20	10	10	10	5.00E-05	10	5.00E-06	1.00E-03	0.3880017841	0.6852689624	0.3832420033	0.6768624803	0.5130750605	0.9061670043	0.4281062827	0.7560994823
