method,modulo,recall,precision
zero_velocity_cosypose,6,0.3755256786,0.5794985251
zero_velocity_cosypose,2,0.4312301941,0.6691444203
zero_velocity_cosypose,4,0.3966246124,0.6110962759
zero_velocity_cosypose,10,0.3353625589,0.5098992443
zero_velocity_cosypose,8,0.3525946221,0.538185178
const_velocity_cosypose,4,0.3957346757,0.6097251129
const_velocity_cosypose,2,0.4191657109,0.6504238349
const_velocity_cosypose,8,0.3673450576,0.5606996045
const_velocity_cosypose,6,0.3906809396,0.6028856113
const_velocity_cosypose,10,0.3497425768,0.5317632242
gtsam,4,0.4066331082,0.6265167877
gtsam,6,0.4011550062,0.6190488364
gtsam,8,0.3766636931,0.5749231667
gtsam,10,0.3542716962,0.5386494865
gtsam,2,0.469297396,0.6204846953
